"X1","X2","Y"
0.643207250861451,0.2721771185752,"0"
0.737673748517409,0.941528178052977,"0"
0.672085857251659,0.0638063163496554,"0"
0.511884647654369,0.797932385932654,"1"
0.963711079908535,0.0463941860944033,"0"
0.549855770543218,0.137791637796909,"0"
0.289528927532956,0.0687804040499032,"1"
0.0296691919211298,0.150536273606122,"1"
0.70420167548582,0.490053594578058,"0"
0.0219002272933722,0.0471242764033377,"1"
0.626331066479906,0.173205496976152,"0"
0.978354729013517,0.490947600454092,"0"
0.177527201594785,0.745572176761925,"1"
0.444074355531484,0.229124163743109,"0"
0.762350622797385,0.779069580836222,"0"
0.229205411858857,0.770636015804484,"0"
0.469657114474103,0.770018049981445,"1"
0.887698921840638,0.17444558464922,"0"
0.42555338027887,0.608380324440077,"0"
0.311081748455763,0.253572817891836,"0"
0.947540032677352,0.29931496665813,"1"
0.183603435289115,0.692079226952046,"0"
0.756598578765988,0.204006932443008,"0"
0.466446442063898,0.763108543818817,"1"
0.402485141763464,0.334866040153429,"0"
0.0957744191400707,0.638231933582574,"0"
0.79351079906337,0.25073141278699,"0"
0.127088136039674,0.949403545353562,"0"
0.332682704087347,0.553004107903689,"0"
0.176281485473737,0.0947286491282284,"1"
0.789102293318138,0.303110244683921,"0"
0.82261652010493,0.249322737567127,"0"
0.430225696414709,0.336252011358738,"0"
0.504865983733907,0.474880164721981,"0"
0.637053431244567,0.293888981919736,"0"
0.421220710268244,0.741248078178614,"0"
0.474309249315411,0.826037794584408,"0"
0.371243619825691,0.3838455977384,"0"
0.259681246709079,0.34483469161205,"0"
0.915736930212006,0.678076149895787,"0"
0.0504449277650565,0.333840222097933,"0"
0.990401147399098,0.870660015847534,"1"
0.704232610529289,0.203169929562137,"0"
0.233512480743229,0.505589914508164,"0"
0.941212776815519,0.716379855992272,"0"
0.756873743608594,0.449383557774127,"0"
0.59276424231939,0.286168781341985,"0"
0.85329433879815,0.307263363851234,"0"
0.950954574160278,0.562910650391132,"0"
0.859145338879898,0.640191611135378,"0"
0.175394135992974,0.00466567650437355,"1"
0.304214658914134,0.0773627839516848,"0"
0.802240962628275,0.149826630251482,"0"
